figure_id,case_name,cycle_size,example_index,seed,iteration,series_key,variable_name,tracked_kind,tracked_value,belief
figure_5b,consistent_with_tail,12,0,1204042,0,x1_route,x1,route,0,0.0
figure_5b,consistent_with_tail,12,0,1204042,1,x1_route,x1,route,0,0.0
figure_5b,consistent_with_tail,12,0,1204042,2,x1_route,x1,route,0,0.0
figure_5b,consistent_with_tail,12,0,1204042,3,x1_route,x1,route,0,0.005999999999999996
figure_5b,consistent_with_tail,12,0,1204042,4,x1_route,x1,route,0,0.022399999999999986
figure_5b,consistent_with_tail,12,0,1204042,5,x1_route,x1,route,0,0.05232999999999997
figure_5b,consistent_with_tail,12,0,1204042,6,x1_route,x1,route,0,0.09791999999999995
figure_5b,consistent_with_tail,12,0,1204042,7,x1_route,x1,route,0,0.1605195999999999
figure_5b,consistent_with_tail,12,0,1204042,8,x1_route,x1,route,0,0.24087551999999984
figure_5b,consistent_with_tail,12,0,1204042,9,x1_route,x1,route,0,0.3392741939999998
figure_5b,consistent_with_tail,12,0,1204042,10,x1_route,x1,route,0,0.4556555448999998
figure_5b,consistent_with_tail,12,0,1204042,11,x1_route,x1,route,0,0.5897031180999999
figure_5b,consistent_with_tail,12,0,1204042,12,x1_route,x1,route,0,0.7409149357029998
figure_5b,consistent_with_tail,12,0,1204042,13,x1_route,x1,route,0,0.9086587232604997
figure_5b,consistent_with_tail,12,0,1204042,14,x1_route,x1,route,0,1.0922145482794297
figure_5b,consistent_with_tail,12,0,1204042,15,x1_route,x1,route,0,1.2908073848826096
figure_5b,consistent_with_tail,12,0,1204042,16,x1_route,x1,route,0,1.5036258157930422
figure_5b,consistent_with_tail,12,0,1204042,17,x1_route,x1,route,0,1.729836028792462
figure_5b,consistent_with_tail,12,0,1204042,18,x1_route,x1,route,0,1.96859329913157
figure_5b,consistent_with_tail,12,0,1204042,19,x1_route,x1,route,0,2.219051365807486
figure_5b,consistent_with_tail,12,0,1204042,20,x1_route,x1,route,0,2.4803700412494942
figure_5b,consistent_with_tail,12,0,1204042,21,x1_route,x1,route,0,2.751721337006893
figure_5b,consistent_with_tail,12,0,1204042,22,x1_route,x1,route,0,3.0322943409063647
figure_5b,consistent_with_tail,12,0,1204042,23,x1_route,x1,route,0,3.3212990423452906
figure_5b,consistent_with_tail,12,0,1204042,24,x1_route,x1,route,0,3.6179692705589646
figure_5b,consistent_with_tail,12,0,1204042,25,x1_route,x1,route,0,3.9215648846470543
figure_5b,consistent_with_tail,12,0,1204042,26,x1_route,x1,route,0,4.231373332829522
figure_5b,consistent_with_tail,12,0,1204042,27,x1_route,x1,route,0,4.529697726179567
figure_5b,consistent_with_tail,12,0,1204042,28,x1_route,x1,route,0,4.787561004740798
figure_5b,consistent_with_tail,12,0,1204042,29,x1_route,x1,route,0,5.048879174370608
figure_5b,consistent_with_tail,12,0,1204042,30,x1_route,x1,route,0,5.313352884507602
figure_5b,consistent_with_tail,12,0,1204042,31,x1_route,x1,route,0,5.580691825629006
figure_5b,consistent_with_tail,12,0,1204042,32,x1_route,x1,route,0,5.850613761731925
figure_5b,consistent_with_tail,12,0,1204042,33,x1_route,x1,route,0,6.122843657042676
figure_5b,consistent_with_tail,12,0,1204042,34,x1_route,x1,route,0,6.397112906987838
figure_5b,consistent_with_tail,12,0,1204042,35,x1_route,x1,route,0,6.673158677939429
figure_5b,consistent_with_tail,12,0,1204042,36,x1_route,x1,route,0,6.950723356214256
figure_5b,consistent_with_tail,12,0,1204042,37,x1_route,x1,route,0,7.229554103916994
figure_5b,consistent_with_tail,12,0,1204042,38,x1_route,x1,route,0,7.509402517194502
figure_5b,consistent_with_tail,12,0,1204042,39,x1_route,x1,route,0,7.790024381101581
figure_5b,consistent_with_tail,12,0,1204042,40,x1_route,x1,route,0,8.071179514399265
figure_5b,consistent_with_tail,12,0,1204042,41,x1_route,x1,route,0,8.35263169708809
figure_5b,consistent_with_tail,12,0,1204042,42,x1_route,x1,route,0,8.634148673222253
figure_5b,consistent_with_tail,12,0,1204042,43,x1_route,x1,route,0,8.915502221482107
figure_5b,consistent_with_tail,12,0,1204042,44,x1_route,x1,route,0,9.19646828604605
figure_5b,consistent_with_tail,12,0,1204042,45,x1_route,x1,route,0,9.476827160457491
figure_5b,consistent_with_tail,12,0,1204042,46,x1_route,x1,route,0,9.75636371739754
figure_5b,consistent_with_tail,12,0,1204042,47,x1_route,x1,route,0,10.034867677528194
figure_5b,consistent_with_tail,12,0,1204042,48,x1_route,x1,route,0,10.3121339108482
figure_5b,consistent_with_tail,12,0,1204042,49,x1_route,x1,route,0,10.587962764294609
figure_5b,consistent_with_tail,12,0,1204042,0,x2_route,x2,route,0,1.0
figure_5b,consistent_with_tail,12,0,1204042,1,x2_route,x2,route,0,1.0
figure_5b,consistent_with_tail,12,0,1204042,2,x2_route,x2,route,0,1.05
figure_5b,consistent_with_tail,12,0,1204042,3,x2_route,x2,route,0,1.141
figure_5b,consistent_with_tail,12,0,1204042,4,x2_route,x2,route,0,1.2654999999999998
figure_5b,consistent_with_tail,12,0,1204042,5,x2_route,x2,route,0,1.4172499999999997
