figure_id,case_name,cycle_size,example_index,seed,iteration,series_key,variable_name,tracked_kind,tracked_value,belief
figure_5a,consistent_no_tail,3,0,300042,0,x1_route,x1,route,0,3.0
figure_5a,consistent_no_tail,3,0,300042,1,x1_route,x1,route,0,3.0
figure_5a,consistent_no_tail,3,0,300042,2,x1_route,x1,route,0,3.01
figure_5a,consistent_no_tail,3,0,300042,3,x1_route,x1,route,0,3.034
figure_5a,consistent_no_tail,3,0,300042,4,x1_route,x1,route,0,3.0744999999999996
figure_5a,consistent_no_tail,3,0,300042,5,x1_route,x1,route,0,3.13283
figure_5a,consistent_no_tail,3,0,300042,6,x1_route,x1,route,0,3.2094259999999997
figure_5a,consistent_no_tail,3,0,300042,7,x1_route,x1,route,0,3.3040582999999994
figure_5a,consistent_no_tail,3,0,300042,8,x1_route,x1,route,0,3.4160181299999994
figure_5a,consistent_no_tail,3,0,300042,9,x1_route,x1,route,0,3.5442682619999997
figure_5a,consistent_no_tail,3,0,300042,10,x1_route,x1,route,0,3.6875628104999993
figure_5a,consistent_no_tail,3,0,300042,11,x1_route,x1,route,0,3.8445409465899996
figure_5a,consistent_no_tail,3,0,300042,12,x1_route,x1,route,0,4.013798757538
figure_5a,consistent_no_tail,3,0,300042,13,x1_route,x1,route,0,4.193357314686599
figure_5a,consistent_no_tail,3,0,300042,14,x1_route,x1,route,0,4.381048659847179
figure_5a,consistent_no_tail,3,0,300042,15,x1_route,x1,route,0,4.575046199901688
figure_5a,consistent_no_tail,3,0,300042,16,x1_route,x1,route,0,4.773827336027127
figure_5a,consistent_no_tail,3,0,300042,17,x1_route,x1,route,0,4.976137063200584
figure_5a,consistent_no_tail,3,0,300042,18,x1_route,x1,route,0,5.1809533700238894
figure_5a,consistent_no_tail,3,0,300042,19,x1_route,x1,route,0,5.387454990786887
figure_5a,consistent_no_tail,3,0,300042,20,x1_route,x1,route,0,5.594991842102968
figure_5a,consistent_no_tail,3,0,300042,21,x1_route,x1,route,0,5.803058306183319
figure_5a,consistent_no_tail,3,0,300042,22,x1_route,x1,route,0,6.011269393659174
figure_5a,consistent_no_tail,3,0,300042,23,x1_route,x1,route,0,6.219339723589473
figure_5a,consistent_no_tail,3,0,300042,24,x1_route,x1,route,0,6.427065190613607
figure_5a,consistent_no_tail,3,0,300042,25,x1_route,x1,route,0,6.634307143705518
figure_5a,consistent_no_tail,3,0,300042,26,x1_route,x1,route,0,6.840978873034146
figure_5a,consistent_no_tail,3,0,300042,27,x1_route,x1,route,0,7.04703418713572
figure_5a,consistent_no_tail,3,0,300042,28,x1_route,x1,route,0,7.252457858698497
figure_5a,consistent_no_tail,3,0,300042,29,x1_route,x1,route,0,7.457257721061071
figure_5a,consistent_no_tail,3,0,300042,30,x1_route,x1,route,0,7.661458206836617
figure_5a,consistent_no_tail,3,0,300042,31,x1_route,x1,route,0,7.865095133130366
figure_5a,consistent_no_tail,3,0,300042,32,x1_route,x1,route,0,8.068211553213592
figure_5a,consistent_no_tail,3,0,300042,33,x1_route,x1,route,0,8.27085451116064
figure_5a,consistent_no_tail,3,0,300042,34,x1_route,x1,route,0,8.473072553009866
figure_5a,consistent_no_tail,3,0,300042,35,x1_route,x1,route,0,8.674913864852204
figure_5a,consistent_no_tail,3,0,300042,36,x1_route,x1,route,0,8.876424924434243
figure_5a,consistent_no_tail,3,0,300042,37,x1_route,x1,route,0,9.077649568078806
figure_5a,consistent_no_tail,3,0,300042,38,x1_route,x1,route,0,9.278628388779673
figure_5a,consistent_no_tail,3,0,300042,39,x1_route,x1,route,0,9.479398394110614
figure_5a,consistent_no_tail,3,0,300042,40,x1_route,x1,route,0,9.679992864061584
figure_5a,consistent_no_tail,3,0,300042,41,x1_route,x1,route,0,9.880441359086644
figure_5a,consistent_no_tail,3,0,300042,42,x1_route,x1,route,0,10.08076983756504
figure_5a,consistent_no_tail,3,0,300042,43,x1_route,x1,route,0,10.281000849610015
figure_5a,consistent_no_tail,3,0,300042,44,x1_route,x1,route,0,10.481153780797246
figure_5a,consistent_no_tail,3,0,300042,45,x1_route,x1,route,0,10.68124512502271
figure_5a,consistent_no_tail,3,0,300042,46,x1_route,x1,route,0,10.881288770439316
figure_5a,consistent_no_tail,3,0,300042,47,x1_route,x1,route,0,11.081296286362956
figure_5a,consistent_no_tail,3,0,300042,48,x1_route,x1,route,0,11.281277202279028
figure_5a,consistent_no_tail,3,0,300042,49,x1_route,x1,route,0,11.481239272712088
figure_5a,consistent_no_tail,3,0,300042,0,x2_route,x2,route,0,1.0
figure_5a,consistent_no_tail,3,0,300042,1,x2_route,x2,route,0,1.2
figure_5a,consistent_no_tail,3,0,300042,2,x2_route,x2,route,0,1.42
figure_5a,consistent_no_tail,3,0,300042,3,x2_route,x2,route,0,1.6549999999999996
figure_5a,consistent_no_tail,3,0,300042,4,x2_route,x2,route,0,1.9008999999999996
figure_5a,consistent_no_tail,3,0,300042,5,x2_route,x2,route,0,2.1543799999999993
figure_5a,consistent_no_tail,3,0,300042,6,x2_route,x2,route,0,2.412788999999999
figure_5a,consistent_no_tail,3,0,300042,7,x2_route,x2,route,0,2.674043899999999
figure_5a,consistent_no_tail,3,0,300042,8,x2_route,x2,route,0,2.9365386599999987
figure_5a,consistent_no_tail,3,0,300042,9,x2_route,x2,route,0,3.1990636749999988
figure_5a,consistent_no_tail,3,0,300042,10,x2_route,x2,route,0,3.460735025699999
figure_5a,consistent_no_tail,3,0,300042,11,x2_route,x2,route,0,3.720933060939999
figure_5a,consistent_no_tail,3,0,300042,12,x2_route,x2,route,0,3.973392813663999
figure_5a,consistent_no_tail,3,0,300042,13,x2_route,x2,route,0,4.214900966625298
figure_5a,consistent_no_tail,3,0,300042,14,x2_route,x2,route,0,4.4471692071709885
figure_5a,consistent_no_tail,3,0,300042,15,x2_route,x2,route,0,4.671724264436913
figure_5a,consistent_no_tail,3,0,300042,16,x2_route,x2,route,0,4.889912046190631
figure_5a,consistent_no_tail,3,0,300042,17,x2_route,x2,route,0,5.102906083367825
figure_5a,consistent_no_tail,3,0,300042,18,x2_route,x2,route,0,5.3117188658888415
figure_5a,consistent_no_tail,3,0,300042,19,x2_route,x2,route,0,5.517214949035218
figure_5a,consistent_no_tail,3,0,300042,20,x2_route,x2,route,0,5.7201249591437175
figure_5a,consistent_no_tail,3,0,300042,21,x2_route,x2,route,0,5.9210598356313096
figure_5a,consistent_no_tail,3,0,300042,22,x2_route,x2,route,0,6.120524818281014
figure_5a,consistent_no_tail,3,0,300042,23,x2_route,x2,route,0,6.318932828949566
figure_5a,consistent_no_tail,3,0,300042,24,x2_route,x2,route,0,6.516617009751823
figure_5a,consistent_no_tail,3,0,300042,25,x2_route,x2,route,0,6.713842269327616
figure_5a,consistent_no_tail,3,0,300042,26,x2_route,x2,route,0,6.910815758620815
figure_5a,consistent_no_tail,3,0,300042,27,x2_route,x2,route,0,7.107696250928928
figure_5a,consistent_no_tail,3,0,300042,28,x2_route,x2,route,0,7.304602440668681
figure_5a,consistent_no_tail,3,0,300042,29,x2_route,x2,route,0,7.501620203841339
figure_5a,consistent_no_tail,3,0,300042,30,x2_route,x2,route,0,7.69880888272484
figure_5a,consistent_no_tail,3,0,300042,31,x2_route,x2,route,0,7.896206669710752
figure_5a,consistent_no_tail,3,0,300042,32,x2_route,x2,route,0,8.093835172001844
figure_5a,consistent_no_tail,3,0,300042,33,x2_route,x2,route,0,8.291703241396986
figure_5a,consistent_no_tail,3,0,300042,34,x2_route,x2,route,0,8.48981015269623
figure_5a,consistent_no_tail,3,0,300042,35,x2_route,x2,route,0,8.68814821124649
figure_5a,consistent_no_tail,3,0,300042,36,x2_route,x2,route,0,8.886704865533487
figure_5a,consistent_no_tail,3,0,300042,37,x2_route,x2,route,0,9.08546439507969
figure_5a,consistent_no_tail,3,0,300042,38,x2_route,x2,route,0,9.284409237678727
figure_5a,consistent_no_tail,3,0,300042,39,x2_route,x2,route,0,9.48352101352836
figure_5a,consistent_no_tail,3,0,300042,40,x2_route,x2,route,0,9.682781297375445
figure_5a,consistent_no_tail,3,0,300042,41,x2_route,x2,route,0,9.88217218354525
figure_5a,consistent_no_tail,3,0,300042,42,x2_route,x2,route,0,10.081676682825552
