variant_idx,pct_random,engine,iteration,cost
2,20,BPEngine,0,15483.0
2,20,BPEngine,1,15483.0
2,20,BPEngine,2,15483.0
2,20,BPEngine,3,15483.0
2,20,BPEngine,4,15483.0
2,20,BPEngine,5,15483.0
2,20,BPEngine,6,15483.0
2,20,BPEngine,7,15483.0
2,20,BPEngine,8,15483.0
2,20,BPEngine,9,15483.0
2,20,BPEngine,10,15483.0
2,20,BPEngine,11,15483.0
2,20,BPEngine,12,15483.0
2,20,BPEngine,13,15483.0
2,20,BPEngine,14,15483.0
2,20,BPEngine,15,15483.0
2,20,BPEngine,16,15483.0
2,20,BPEngine,17,15483.0
2,20,BPEngine,18,15483.0
2,20,BPEngine,19,15483.0
2,20,BPEngine,20,15483.0
2,20,BPEngine,21,15483.0
2,20,BPEngine,22,15483.0
2,20,BPEngine,23,15483.0
2,20,BPEngine,24,15483.0
2,20,BPEngine,25,15483.0
2,20,BPEngine,26,15483.0
2,20,BPEngine,27,15483.0
2,20,BPEngine,28,15483.0
2,20,BPEngine,29,15483.0
2,20,BPEngine,30,15483.0
2,20,BPEngine,31,15483.0
2,20,BPEngine,32,15483.0
2,20,BPEngine,33,15483.0
2,20,BPEngine,34,15483.0
2,20,BPEngine,35,15483.0
2,20,BPEngine,36,15483.0
