variant_idx,pct_random,engine,iteration,cost
6,59,DampingEngine,0,48168.0
6,59,DampingEngine,1,48168.0
6,59,DampingEngine,2,48168.0
6,59,DampingEngine,3,48168.0
6,59,DampingEngine,4,48168.0
6,59,DampingEngine,5,48168.0
6,59,DampingEngine,6,48168.0
6,59,DampingEngine,7,48168.0
6,59,DampingEngine,8,48168.0
6,59,DampingEngine,9,48168.0
6,59,DampingEngine,10,48168.0
6,59,DampingEngine,11,48168.0
6,59,DampingEngine,12,48168.0
6,59,DampingEngine,13,48168.0
6,59,DampingEngine,14,48168.0
6,59,DampingEngine,15,48168.0
6,59,DampingEngine,16,48168.0
6,59,DampingEngine,17,48168.0
6,59,DampingEngine,18,48168.0
6,59,DampingEngine,19,48168.0
6,59,DampingEngine,20,48168.0
6,59,DampingEngine,21,48168.0
6,59,DampingEngine,22,48168.0
6,59,DampingEngine,23,48168.0
6,59,DampingEngine,24,48168.0
6,59,DampingEngine,25,48168.0
6,59,DampingEngine,26,48168.0
6,59,DampingEngine,27,48168.0
6,59,DampingEngine,28,48168.0
6,59,DampingEngine,29,48168.0
6,59,DampingEngine,30,48168.0
6,59,DampingEngine,31,48168.0
6,59,DampingEngine,32,48168.0
6,59,DampingEngine,33,48168.0
6,59,DampingEngine,34,48168.0
6,59,DampingEngine,35,48168.0
6,59,DampingEngine,36,48168.0
