variant_idx,pct_random,engine,iteration,cost
1,10,DampingEngine,0,51208.0
1,10,DampingEngine,1,51208.0
1,10,DampingEngine,2,51208.0
1,10,DampingEngine,3,51208.0
1,10,DampingEngine,4,51208.0
1,10,DampingEngine,5,51208.0
1,10,DampingEngine,6,51208.0
1,10,DampingEngine,7,51208.0
1,10,DampingEngine,8,51208.0
1,10,DampingEngine,9,51208.0
1,10,DampingEngine,10,51208.0
1,10,DampingEngine,11,51208.0
1,10,DampingEngine,12,51208.0
1,10,DampingEngine,13,51208.0
1,10,DampingEngine,14,51208.0
1,10,DampingEngine,15,51208.0
1,10,DampingEngine,16,51208.0
1,10,DampingEngine,17,51208.0
1,10,DampingEngine,18,51208.0
1,10,DampingEngine,19,51208.0
1,10,DampingEngine,20,51208.0
1,10,DampingEngine,21,51208.0
1,10,DampingEngine,22,51208.0
1,10,DampingEngine,23,51208.0
1,10,DampingEngine,24,51208.0
1,10,DampingEngine,25,51208.0
1,10,DampingEngine,26,51208.0
1,10,DampingEngine,27,51208.0
1,10,DampingEngine,28,51208.0
1,10,DampingEngine,29,51208.0
1,10,DampingEngine,30,51208.0
1,10,DampingEngine,31,51208.0
1,10,DampingEngine,32,51208.0
1,10,DampingEngine,33,51208.0
1,10,DampingEngine,34,51208.0
1,10,DampingEngine,35,51208.0
1,10,DampingEngine,36,51208.0
