variant_idx,pct_random,engine,iteration,cost
3,30,BPEngine,0,153868.0
3,30,BPEngine,1,153868.0
3,30,BPEngine,2,153868.0
3,30,BPEngine,3,153868.0
3,30,BPEngine,4,153868.0
3,30,BPEngine,5,153868.0
3,30,BPEngine,6,153868.0
3,30,BPEngine,7,153868.0
3,30,BPEngine,8,153868.0
3,30,BPEngine,9,153868.0
3,30,BPEngine,10,153868.0
3,30,BPEngine,11,153868.0
3,30,BPEngine,12,153868.0
3,30,BPEngine,13,153868.0
3,30,BPEngine,14,153868.0
3,30,BPEngine,15,153868.0
3,30,BPEngine,16,153868.0
3,30,BPEngine,17,153868.0
3,30,BPEngine,18,153868.0
3,30,BPEngine,19,153868.0
3,30,BPEngine,20,153868.0
3,30,BPEngine,21,153868.0
3,30,BPEngine,22,153868.0
3,30,BPEngine,23,153868.0
3,30,BPEngine,24,153868.0
3,30,BPEngine,25,153868.0
3,30,BPEngine,26,153868.0
3,30,BPEngine,27,153868.0
3,30,BPEngine,28,153868.0
3,30,BPEngine,29,153868.0
3,30,BPEngine,30,153868.0
3,30,BPEngine,31,153868.0
3,30,BPEngine,32,153868.0
3,30,BPEngine,33,153868.0
3,30,BPEngine,34,153868.0
3,30,BPEngine,35,153868.0
3,30,BPEngine,36,153868.0
