variant_idx,pct_random,engine,iteration,cost
5,49,DampingEngine,0,40090.0
5,49,DampingEngine,1,40090.0
5,49,DampingEngine,2,40090.0
5,49,DampingEngine,3,40090.0
5,49,DampingEngine,4,40090.0
5,49,DampingEngine,5,40090.0
5,49,DampingEngine,6,40090.0
5,49,DampingEngine,7,40090.0
5,49,DampingEngine,8,40090.0
5,49,DampingEngine,9,40090.0
5,49,DampingEngine,10,40090.0
5,49,DampingEngine,11,40090.0
5,49,DampingEngine,12,40090.0
5,49,DampingEngine,13,40090.0
5,49,DampingEngine,14,40090.0
5,49,DampingEngine,15,40090.0
5,49,DampingEngine,16,40090.0
5,49,DampingEngine,17,40090.0
5,49,DampingEngine,18,40090.0
5,49,DampingEngine,19,40090.0
5,49,DampingEngine,20,40090.0
5,49,DampingEngine,21,40090.0
5,49,DampingEngine,22,40090.0
5,49,DampingEngine,23,40090.0
5,49,DampingEngine,24,40090.0
5,49,DampingEngine,25,40090.0
5,49,DampingEngine,26,40090.0
5,49,DampingEngine,27,40090.0
5,49,DampingEngine,28,40090.0
5,49,DampingEngine,29,40090.0
5,49,DampingEngine,30,40090.0
5,49,DampingEngine,31,40090.0
5,49,DampingEngine,32,40090.0
5,49,DampingEngine,33,40090.0
5,49,DampingEngine,34,40090.0
5,49,DampingEngine,35,40090.0
5,49,DampingEngine,36,40090.0
