variant_idx,pct_random,engine,iteration,cost
0,0,BPEngine,0,0.0
0,0,BPEngine,1,0.0
0,0,BPEngine,2,0.0
0,0,BPEngine,3,0.0
0,0,BPEngine,4,0.0
0,0,BPEngine,5,0.0
0,0,BPEngine,6,0.0
0,0,BPEngine,7,0.0
0,0,BPEngine,8,0.0
0,0,BPEngine,9,0.0
0,0,BPEngine,10,0.0
0,0,BPEngine,11,0.0
0,0,BPEngine,12,0.0
0,0,BPEngine,13,0.0
0,0,BPEngine,14,0.0
0,0,BPEngine,15,0.0
0,0,BPEngine,16,0.0
0,0,BPEngine,17,0.0
0,0,BPEngine,18,0.0
0,0,BPEngine,19,0.0
0,0,BPEngine,20,0.0
0,0,BPEngine,21,0.0
0,0,BPEngine,22,0.0
0,0,BPEngine,23,0.0
0,0,BPEngine,24,0.0
0,0,BPEngine,25,0.0
0,0,BPEngine,26,0.0
0,0,BPEngine,27,0.0
0,0,BPEngine,28,0.0
0,0,BPEngine,29,0.0
0,0,BPEngine,30,0.0
0,0,BPEngine,31,0.0
0,0,BPEngine,32,0.0
0,0,BPEngine,33,0.0
0,0,BPEngine,34,0.0
0,0,BPEngine,35,0.0
0,0,BPEngine,36,0.0
