variant_idx,pct_random,engine,iteration,cost
8,80,DampingEngine,0,410512.0
8,80,DampingEngine,1,410512.0
8,80,DampingEngine,2,410512.0
8,80,DampingEngine,3,410512.0
8,80,DampingEngine,4,410512.0
8,80,DampingEngine,5,410512.0
8,80,DampingEngine,6,410512.0
8,80,DampingEngine,7,410512.0
8,80,DampingEngine,8,410512.0
8,80,DampingEngine,9,410512.0
8,80,DampingEngine,10,410512.0
8,80,DampingEngine,11,410512.0
8,80,DampingEngine,12,410512.0
8,80,DampingEngine,13,410512.0
8,80,DampingEngine,14,410512.0
8,80,DampingEngine,15,410512.0
8,80,DampingEngine,16,410512.0
8,80,DampingEngine,17,410512.0
8,80,DampingEngine,18,410512.0
8,80,DampingEngine,19,410512.0
8,80,DampingEngine,20,410512.0
8,80,DampingEngine,21,410512.0
8,80,DampingEngine,22,410512.0
8,80,DampingEngine,23,410512.0
8,80,DampingEngine,24,410512.0
8,80,DampingEngine,25,410512.0
8,80,DampingEngine,26,410512.0
8,80,DampingEngine,27,410512.0
8,80,DampingEngine,28,410512.0
8,80,DampingEngine,29,410512.0
8,80,DampingEngine,30,410512.0
8,80,DampingEngine,31,410512.0
8,80,DampingEngine,32,410512.0
8,80,DampingEngine,33,410512.0
8,80,DampingEngine,34,410512.0
8,80,DampingEngine,35,410512.0
8,80,DampingEngine,36,410512.0
