variant_idx,pct_random,engine,iteration,cost
2,20,BPEngine,0,102213.0
2,20,BPEngine,1,102213.0
2,20,BPEngine,2,102213.0
2,20,BPEngine,3,102213.0
2,20,BPEngine,4,102213.0
2,20,BPEngine,5,102213.0
2,20,BPEngine,6,102213.0
2,20,BPEngine,7,102213.0
2,20,BPEngine,8,102213.0
2,20,BPEngine,9,102213.0
2,20,BPEngine,10,102213.0
2,20,BPEngine,11,102213.0
2,20,BPEngine,12,102213.0
2,20,BPEngine,13,102213.0
2,20,BPEngine,14,102213.0
2,20,BPEngine,15,102213.0
2,20,BPEngine,16,102213.0
2,20,BPEngine,17,102213.0
2,20,BPEngine,18,102213.0
2,20,BPEngine,19,102213.0
2,20,BPEngine,20,102213.0
2,20,BPEngine,21,102213.0
2,20,BPEngine,22,102213.0
2,20,BPEngine,23,102213.0
2,20,BPEngine,24,102213.0
2,20,BPEngine,25,102213.0
2,20,BPEngine,26,102213.0
2,20,BPEngine,27,102213.0
2,20,BPEngine,28,102213.0
2,20,BPEngine,29,102213.0
2,20,BPEngine,30,102213.0
2,20,BPEngine,31,102213.0
2,20,BPEngine,32,102213.0
2,20,BPEngine,33,102213.0
2,20,BPEngine,34,102213.0
2,20,BPEngine,35,102213.0
2,20,BPEngine,36,102213.0
