figure_id,case_name,cycle_size,example_index,seed,iteration,series_key,variable_name,tracked_kind,tracked_value,belief
figure_5a,consistent_no_tail,6,0,600042,0,x1_route,x1,route,1,5.0
figure_5a,consistent_no_tail,6,0,600042,1,x1_route,x1,route,1,5.9
figure_5a,consistent_no_tail,6,0,600042,2,x1_route,x1,route,1,6.77
figure_5a,consistent_no_tail,6,0,600042,3,x1_route,x1,route,1,7.609999999999999
figure_5a,consistent_no_tail,6,0,600042,4,x1_route,x1,route,1,8.4208
figure_5a,consistent_no_tail,6,0,600042,5,x1_route,x1,route,1,9.200579999999999
figure_5a,consistent_no_tail,6,0,600042,6,x1_route,x1,route,1,9.934852999999999
figure_5a,consistent_no_tail,6,0,600042,7,x1_route,x1,route,1,10.586041699999999
figure_5a,consistent_no_tail,6,0,600042,8,x1_route,x1,route,1,11.150648839999999
figure_5a,consistent_no_tail,6,0,600042,9,x1_route,x1,route,1,11.695364717
figure_5a,consistent_no_tail,6,0,600042,10,x1_route,x1,route,1,12.223638747399999
figure_5a,consistent_no_tail,6,0,600042,11,x1_route,x1,route,1,12.738572847259999
figure_5a,consistent_no_tail,6,0,600042,12,x1_route,x1,route,1,13.242939332874997
figure_5a,consistent_no_tail,6,0,600042,13,x1_route,x1,route,1,13.739202763600296
figure_5a,consistent_no_tail,6,0,600042,14,x1_route,x1,route,1,14.22954292053411
figure_5a,consistent_no_tail,6,0,600042,15,x1_route,x1,route,1,14.715877028659634
figure_5a,consistent_no_tail,6,0,600042,16,x1_route,x1,route,1,15.199881026628741
figure_5a,consistent_no_tail,6,0,600042,17,x1_route,x1,route,1,15.683009755063914
figure_5a,consistent_no_tail,6,0,600042,18,x1_route,x1,route,1,16.166515989433904
figure_5a,consistent_no_tail,6,0,600042,19,x1_route,x1,route,1,16.65146828779917
figure_5a,consistent_no_tail,6,0,600042,20,x1_route,x1,route,1,17.138767657989412
figure_5a,consistent_no_tail,6,0,600042,21,x1_route,x1,route,1,17.629163074240864
figure_5a,consistent_no_tail,6,0,600042,22,x1_route,x1,route,1,18.123265891242013
figure_5a,consistent_no_tail,6,0,600042,23,x1_route,x1,route,1,18.62156321516426
figure_5a,consistent_no_tail,6,0,600042,24,x1_route,x1,route,1,19.12443029777599
figure_5a,consistent_no_tail,6,0,600042,25,x1_route,x1,route,1,19.632142022240664
figure_5a,consistent_no_tail,6,0,600042,26,x1_route,x1,route,1,20.144883548647012
figure_5a,consistent_no_tail,6,0,600042,27,x1_route,x1,route,1,20.662760184547068
figure_5a,consistent_no_tail,6,0,600042,28,x1_route,x1,route,1,21.18580654149182
figure_5a,consistent_no_tail,6,0,600042,29,x1_route,x1,route,1,21.713995033336545
figure_5a,consistent_no_tail,6,0,600042,30,x1_route,x1,route,1,22.24724376640559
figure_5a,consistent_no_tail,6,0,600042,31,x1_route,x1,route,1,22.78542386582584
figure_5a,consistent_no_tail,6,0,600042,32,x1_route,x1,route,1,23.32836627673295
